episodes,rewards,reset
20,-1383.8534402927621,True
24,-108.28749623447773,True
28,40.860658938513225,True
32,-145.33688873021003,True
36,499.2524740876279,True
40,-69.24544511263099,True
44,163.6613149761796,True
48,-88.65545749701543,True
52,-22053.627732095636,True
54,-13756.40696649522,True
57,-301.4448448604805,True
60,-10836.942284305302,True
63,541.3348358232267,True
66,-1511.8443807249885,True
70,-2.986756518537547,True
74,-1250.027334902766,True
78,-297.2486583583438,True
82,360.61431010052536,True
86,-97762.70403552422,True
90,-937.6797688248223,True
94,-57.760323109707855,True
97,-433.68552589005793,True
101,-320.0493143960103,True
105,-1138.3413850427876,True
109,-441.8302112039631,True
113,-344.49341173057826,True
117,-7275.901772863693,True
121,-1060.8173693782146,True
125,376.27888295083056,True
129,-798.1189124055829,True
133,-555.0424527775606,True
137,-748.0737261377458,True
141,-363.91346550781554,True
145,177.12235995046248,True
149,-262.75312677816333,True
153,331.9204721686062,True
155,-592.267011793058,True
159,293.2454897410436,True
163,-731.1986075935242,True
167,334.9183857903134,True
171,91.51725446005197,True
175,-562.187461647458,True
179,417.9473161588326,True
183,70.9736803936226,True
187,-357.6208593200861,True
191,127.37841546820778,True
195,-97284.69580158209,True
196,-185.65196532372335,True
200,-377.9368284818529,True
204,-327.2813486706312,True
208,-599.0192906313805,True
212,-792.1018866661459,True
216,99.84826339689164,True
220,-568.9241205413425,True
224,-735.0835109172253,True
228,231.9483649265305,True
232,-741.7141773309977,True
236,135.13929643307415,True
240,-462.84461502415525,True
244,-33116.923094087855,True
248,-224.11273137042707,True
252,-169.22201519597456,True
256,-62.652712849635805,True
260,-899.7500808889979,True
264,562.7319282821408,True
268,347.1889678563858,True
272,400.8546341028015,True
276,-537.5503464280534,True
280,2.0428655903781134,True
284,174.844079483203,True
288,-859.8701313191042,True
292,-697.8065135168306,True
296,-682.9251693090406,True
300,-6205.78384228319,True
304,-436.1668656350065,True
306,169.9249126956677,True
310,247.21128206272522,True
314,-117.40061810351557,True
318,-324.8736458066027,True
322,307.55112742527524,True
326,-562.1874616474579,True
330,-441.10834662888135,True
333,73.40592888462442,True
337,83.92819288399961,True
341,-37.81811690412708,True
345,-546.0520590433899,True
349,182.83479677336575,True
350,-192.48011246359994,True
354,-237.01480547590623,True
355,19.21253165828024,True
359,-99.09292751230069,True
363,18.338930480090134,True
367,662.307958361691,True
371,732.9792812594138,True
375,-3811.5821888004994,True
379,132.05770453759385,True
383,-172.80902386504366,True
386,-345.7541643887581,True
387,-138.99295986789988,True
391,-888.8138883620258,True
395,-270.543016211271,True
399,-3.4196521215231854,True
403,-212.7614946055406,True
407,129.07987370159213,True
408,3.391759363598835,True
412,-106.94975956442669,True
416,236.35207354762406,True
420,-247.97108078858406,True
424,281.85074027379534,True
428,82.34388423389748,True
432,-51603.21659284383,True
436,245.89474388869672,True
440,-717.4151223376363,True
441,-92.48011246359995,True
445,-730.9698869785449,True
449,-211.45499782436488,True
453,-639.9970991531759,True
457,414.377043144518,True
461,-313.92183333519284,True
465,-136.04748463109036,True
469,154.7389795713441,True
473,143.62650481429003,True
474,7.519887536400049,True
478,113.4353836369925,True
482,-436.0575260239431,True
486,35.137065012440175,True
487,-92.48011246359995,True
491,-155.09935400372643,True
492,-143.1210880407011,True
496,-583.2967008445927,True
500,-37.0371196822457,True
502,-296.60824063640115,True
504,-138.9929598678999,True
508,441.44194401365627,True
512,-218.99496814647046,True
516,-184.46708096709767,True
518,-222.27961931963983,True
522,215.81296232246262,True
526,-87.42482901739393,True
530,-381.33081926608577,True
533,-115.23837150922137,True
537,-250.08088899798057,True
541,-136.72695221412715,True
542,3.391759363598835,True
546,-11651.737718818686,True
550,-340.911981613094,True
554,-157.0083343560678,True
557,-295.99125283111493,True
561,-166.23414296712002,True
565,6.621740731236592,True
569,141.95293933883005,True
573,139.699204498544,True
577,-257.00833435606773,True
581,30.597239732675803,True
585,97.9147374175769,True
589,-31.304600073636895,True
590,3.391759363598835,True
594,-55.13617244418657,True
598,-115.97250889778975,True
599,3.391759363598835,True
603,74.57630900712938,True
605,-381.52383715092213,True
609,-16.187840988965625,True
613,-328.0366845552221,True
614,3.391759363598835,True
618,-151.44428700532194,True
622,-404.3713530219014,True
624,-96.60824063640116,True
628,-34.081603052583446,True
632,-99.69764250410023,True
636,-192.66643608653447,True
640,-251.39965859264296,True
644,-487.42482901739396,True
645,-96.60824063640116,True
649,80.66808733780363,True
653,183.32347789220006,True
657,-445.7541643887581,True
661,-184.24393890370305,True
665,-265.67851922926735,True
666,3.391759363598835,True
670,115.92453335415996,True
674,-70.90227493333632,True
678,80.5888719052985,True
682,287.38466344598294,True
686,94.85992256970401,True
687,3.391759363598835,True
691,-106.45884702495843,True
694,-138.99295986789988,True
698,-51799.74561804773,True
702,-306.45884702495846,True
706,-27.431969563422534,True
709,61.0070401321001,True
713,-85.77357774827342,True
714,3.391759363598835,True
718,135.78194557565072,True
722,-224.91269566769682,True
726,-203.9250688951121,True
730,-155.64939918999428,True
731,3.391759363598835,True
732,3.391759363598835,True
736,-249.47840542681502,True
740,-21.084693570161445,True
741,3.391759363598835,True
744,-202.8216313916255,True
745,3.391759363598835,True
749,-530.3305849669192,True
750,3.391759363598835,True
754,-171.1131441832443,True
758,35.75963136931128,True
759,-43.12108804070111,True
763,46.7159066819891,True
764,-285.65196532372335,True
765,-396.60824063640115,True
769,91.5127916187841,True
772,-238.99295986789988,True
776,-272.8090238650437,True
780,275.2011067846344,True
781,-296.60824063640115,True
782,3.391759363598835,True
786,162.4496535719466,True
790,-96.72985306095124,True
794,59.144919613071664,True
795,56.87891195929889,True
797,-128.03668455522208,True
798,3.391759363598835,True
799,3.391759363598835,True
803,-17.013466623525865,True
805,56.87891195929889,True
809,-233.23589463231767,True
810,-196.60824063640115,True
811,-196.60824063640115,True
812,3.391759363598835,True
816,84.3253857568421,True
820,-306.31268897343494,True
824,-199.41759921453996,True
825,7.519887536400049,True
829,-99.53921163909007,True
833,147.11979381673342,True
837,90.64030615091097,True
841,-161.61733367548447,True
845,30.138682792399788,True
846,3.391759363598835,True
850,-68.45552220821382,True
853,-228.03668455522208,True
857,98.3409387586607,True
858,-43.12108804070111,True
862,-12.706824800008933,True
866,-90.79427417465328,True
870,-91.98696850349775,True
872,50.11770743844069,True
876,-4046.540740162224,True
877,3.391759363598835,True
881,-289.388479175267,True
885,-81.84627743252742,True
886,3.391759363598835,True
887,3.391759363598835,True
891,-199.3406152026688,True
892,3.391759363598835,True
896,152.38371509221346,True
900,-155.57241517812312,True
901,3.391759363598835,True
905,-14.246505037432089,True
909,129.4569837887291,True
913,132.94804137053856,True
917,-394.12913231208654,True
921,-96.39513996585926,True
925,-390.0010041392853,True
929,-96.39513996585926,True
930,3.391759363598835,True
934,29.12227069363712,True
938,31.274475895078595,True
939,3.391759363598835,True
940,3.391759363598835,True
944,-228.2821408249562,True
945,3.391759363598835,True
947,-185.65196532372335,True
948,-296.60824063640115,True
950,77.72038068036015,True
954,-138.99295986789988,True
958,-228.03668455522208,True
962,-12.615336554017105,True
966,-149.47840542681496,True
967,3.391759363598835,True
968,3.391759363598835,True
972,-6.947528143792738,True
973,3.391759363598835,True
